Início,Término,Bacia,Ativo,Operador,Ambiente,Lâmina d'água,Código (ANP),Objetivo,Sonda,Info
1922-01-01,1922-06-30,Camamu,Brasil,ND,TERRA,0,2SGMB33BA,exploração,ND,N.D.
1925-01-01,1925-12-30,Camamu,Brasil,ND,TERRA,0,2SGMB48BA,exploração,ND,N.D.
1937-11-15,1938-03-01,Recôncavo,Brasil,ND,TERRA,0,2SFPM153ABA,exploração,ND,N.D.
1937-07-17,1937-09-01,Recôncavo,Brasil,ND,TERRA,0,2SFPM153BA,exploração,ND,N.D.
1938-07-01,1939-01-23,Recôncavo,Brasil,ND,TERRA,0,2SFPM163BA,exploração,ND,N.D.
1939-11-01,1940-07-29,Alagoas,Brasil,ND,TERRA,0,2AL1AL,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1939-09-30,1940-11-20,Recôncavo,,ND,TERRA,0.0,1L1BA,exploração,ND,N.D.
1939-10-28,1940-03-19,Recôncavo,,ND,TERRA,0.0,1L2BA,exploração,ND,N.D.
1939-11-16,1939-12-23,Recôncavo,,ND,TERRA,0.0,1L3BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-09-24,1941-08-02,Alagoas,Brasil,ND,TERRA,0,1AL2AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1940-09-07,1941-06-02,Recôncavo,,ND,TERRA,0.0,1L8BA,exploração,ND,N.D.
1940-05-17,1940-08-10,Recôncavo,,ND,TERRA,0.0,3L5BA,exploração,ND,N.D.
1940-12-20,1942-04-15,Recôncavo,,ND,TERRA,0.0,7L10BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1940-02-10,1940-05-20,Recôncavo,,ND,TERRA,0.0,7L4BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-05-25,1940-07-08,Recôncavo,,ND,TERRA,0.0,7L6BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-08-12,1940-09-04,Recôncavo,,ND,TERRA,0.0,7L7BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1940-10-03,1941-03-03,Recôncavo,,ND,TERRA,0.0,7L9BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1941-08-26,1942-02-14,Alagoas,Brasil,ND,TERRA,0,1AL2AAL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-02-26,1941-05-13,Alagoas,Brasil,ND,TERRA,0,1AL3AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-08-21,1942-03-03,Alagoas,Brasil,ND,TERRA,0.0,1AL5AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-08-28,1942-02-15,Recôncavo,,Petrobras,TERRA,0,1A1BA,exploração,ND,N.D.
1941-04-02,2008-09-15,Recôncavo,,Petrobras,TERRA,0,1C1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1941-11-03,1942-02-25,Recôncavo,,Petrobras,TERRA,0,1I1BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1941-03-09,1941-05-30,Recôncavo,,ND,TERRA,0.0,3L11BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1941-04-10,1941-07-02,Recôncavo,,ND,TERRA,0.0,7L12BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1941-09-29,1941-11-25,Recôncavo,,ND,TERRA,0.0,7L13BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-04-12,1942-11-12,Alagoas,Brasil,ND,TERRA,0,1AL4AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-03-21,1942-11-05,Alagoas,Brasil,ND,TERRA,0,1AL6AL,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-01-05,1942-03-10,Camamu,Brasil,ND,TERRA,0,2SOL1BA,exploração,SONDA CONVENCIONAL 55,Sonda Deslocada
1942-04-02,1942-04-29,Recôncavo,,Petrobras,TERRA,0,7A2BA,produção,ND,N.D.
1942-05-08,1942-07-11,Recôncavo,,Petrobras,TERRA,0,7A3BA,produção,ND,N.D.
1942-06-15,1942-12-07,Recôncavo,,Petrobras,TERRA,0,7A4BA,produção,ND,N.D.
1942-09-18,1942-11-18,Recôncavo,,Petrobras,TERRA,0,7A5BA,produção,ND,N.D.
1942-11-02,1942-12-11,Recôncavo,,Petrobras,TERRA,0,7A6BA,produção,ND,N.D.
1942-12-14,1943-02-04,Recôncavo,,Petrobras,TERRA,0,7A7BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-12-25,1944-12-12,Recôncavo,,Petrobras,TERRA,0,7A8BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1942-10-12,1943-01-18,Recôncavo,Brasil,ND,TERRA,0,1AL1BA,exploração,ND,N.D.
1942-01-19,1942-03-16,Recôncavo,,Petrobras,TERRA,0,7C2BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-04-16,1942-06-13,Recôncavo,,Petrobras,TERRA,0,7C3BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
1942-08-19,1942-11-17,Recôncavo,,Petrobras,TERRA,0,7C4BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1942-05-05,1942-07-21,Recôncavo,,Petrobras,TERRA,0,1I2BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1942-10-20,1942-11-28,Recôncavo,,Petrobras,TERRA,0,3I3BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1942-01-06,1942-04-04,Recôncavo,,ND,TERRA,0.0,7L14BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-02-22,1942-03-24,Recôncavo,,ND,TERRA,0.0,7L15BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-04-19,1942-07-02,Recôncavo,,ND,TERRA,0.0,7L16BA,produção,SONDA CONVENCIONAL 6,Sonda Deslocada
1942-04-25,1942-06-28,Recôncavo,,ND,TERRA,0.0,7L17BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1942-01-01,1947-05-01,Sergipe,Brasil,ND,TERRA,0,1IT3SE,exploração,ND,N.D.
1942-01-01,1947-07-01,Sergipe,Brasil,ND,TERRA,0,1IT4SE,exploração,ND,N.D.
1942-01-01,1946-03-10,Sergipe,Brasil,ND,TERRA,0,9IB3SE,exploração,ND,N.D.
1943-01-06,1943-05-10,Camamu,Brasil,ND,TERRA,0,2SOL2BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1943-04-12,1943-07-18,Recôncavo,,Petrobras,TERRA,0,3A10BA,exploração,SONDA CONVENCIONAL 5,Sonda Deslocada
1943-02-03,1943-04-17,Recôncavo,,Petrobras,TERRA,0,3A9BA,exploração,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-08-29,1943-11-29,Recôncavo,,Petrobras,TERRA,0,7A11BA,produção,ND,N.D.
1943-04-03,1944-03-31,Recôncavo,Brasil,ND,TERRA,0,1M1BA,exploração,ND,N.D.
1943-01-04,1943-03-25,Recôncavo,,Petrobras,TERRA,0,7C5BA,produção,SONDA CONVENCIONAL 27,Sonda Deslocada
1943-04-29,1943-08-12,Recôncavo,,Petrobras,TERRA,0,7C6BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-11-15,1944-02-22,Recôncavo,,Petrobras,TERRA,0,7C7BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1943-01-05,1943-02-25,Recôncavo,,Petrobras,TERRA,0,3I4BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-03-10,1943-05-01,Recôncavo,,Petrobras,TERRA,0,3I5BA,exploração,SONDA CONVENCIONAL 8,Sonda Deslocada
1943-12-28,1944-03-03,Recôncavo,,Petrobras,TERRA,0,3I9BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-05-30,1961-07-16,Recôncavo,,Petrobras,TERRA,0,7I6BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-09-09,1943-10-22,Recôncavo,,Petrobras,TERRA,0,7I7BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1943-10-06,1943-11-19,Recôncavo,,Petrobras,TERRA,0,7I8BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-01-17,1944-04-11,Recôncavo,,Petrobras,TERRA,0,3A12BA,exploração,SONDA CONVENCIONAL 2,Sonda Deslocada
1944-07-09,1944-10-02,Recôncavo,,Petrobras,TERRA,0,7A13BA,produção,SONDA CONVENCIONAL 2,Sonda Deslocada
1944-10-21,1945-02-13,Recôncavo,Brasil,ND,TERRA,0,1MA1BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1944-07-24,1944-10-15,Recôncavo,,Petrobras,TERRA,0,7C10BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-10-17,1944-11-29,Recôncavo,,Petrobras,TERRA,0,7C11BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1944-12-01,1945-03-03,Recôncavo,,Petrobras,TERRA,0,7C12BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-01-29,1944-03-31,Recôncavo,,Petrobras,TERRA,0,7C8BA,produção,SONDA CONVENCIONAL 5,Sonda Deslocada
1944-04-01,1944-05-27,Recôncavo,,Petrobras,TERRA,0,7C9BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1944-10-14,1945-02-06,Recôncavo,,Petrobras,TERRA,0,1CA1BA,exploração,ND,N.D.
1944-01-15,1944-02-27,Recôncavo,,Petrobras,TERRA,0,7I10BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1944-03-13,1944-04-24,Recôncavo,,Petrobras,TERRA,0,7I11BA,produção,SONDA CONVENCIONAL 4,Sonda Deslocada
1944-03-26,1944-07-15,Recôncavo,,Petrobras,TERRA,0,7I12BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-09-08,1944-10-12,Recôncavo,,Petrobras,TERRA,0,7I13BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-11-26,1945-01-07,Recôncavo,,Petrobras,TERRA,0,7I14BA,produção,SONDA CONVENCIONAL 8,Sonda Deslocada
1944-04-18,1944-05-21,Tucano Sul,Brasil,ND,TERRA,0,2CIST1BA,exploração,ND,N.D.
1944-06-02,1944-06-20,Tucano Sul,Brasil,ND,TERRA,0,2CIST2BA,exploração,ND,N.D.
1944-07-04,1944-07-27,Tucano Sul,Brasil,ND,TERRA,0,2SO1BA,exploração,ND,N.D.
1945-12-28,1946-04-12,Recôncavo,Brasil,ND,TERRA,0,1SL1BA,exploração,SONDA CONVENCIONAL 4,Sonda Deslocada
1945-03-09,1945-05-23,Recôncavo,,Petrobras,TERRA,0,3C14BA,exploração,SONDA CONVENCIONAL 3,Sonda Deslocada
1945-03-29,1945-07-02,Recôncavo,,Petrobras,TERRA,0,3C16BA,exploração,SONDA CONVENCIONAL 5,Sonda Deslocada
1945-01-09,1945-03-17,Recôncavo,,Petrobras,TERRA,0,7C13BA,produção,SONDA CONVENCIONAL 7,Sonda Deslocada
1945-07-01,1945-08-31,Recôncavo,,Petrobras,TERRA,0,7C17BA,produção,SONDA CONVENCIONAL 3,Sonda Deslocada
